cell_type,count,percentage,proportional_sample,sqrt_sample,stratified_sample
kidney loop of Henle thin ascending limb epithelial cell,0,0.0,0,0,0
leptomeningeal cell,0,0.0,0,0,0
luminal endometrial multiciliated epithelial cell,0,0.0,0,0,0
myoepithelial cell of bronchus submucosal gland,0,0.0,0,0,0
luminal cell of prostate epithelium,0,0.0,0,0,0
leukocyte,0,0.0,0,0,0
liver dendritic cell,0,0.0,0,0,0
myoepithelial cell,0,0.0,0,0,0
myo-medullary thymic epithelial cell,0,0.0,0,0,0
medullary thymic epithelial cell type 3,0,0.0,0,0,0
near-projecting glutamatergic cortical neuron,0,0.0,0,0,0
myeloid leukocyte,0,0.0,0,0,0
neuronal-restricted precursor,0,0.0,0,0,0
neuron associated cell,0,0.0,0,0,0
neuron associated cell (sensu Vertebrata),0,0.0,0,0,0
neuron of the forebrain,0,0.0,0,0,0
neuronal receptor cell,0,0.0,0,0,0
kidney interstitial fibroblast,0,0.0,0,0,0
kidney interstitial cell,0,0.0,0,0,0
kidney interstitial alternatively activated macrophage,0,0.0,0,0,0
kidney inner medulla collecting duct epithelial cell,0,0.0,0,0,0
kidney loop of Henle thick ascending limb epithelial cell,0,0.0,0,0,0
kidney epithelial cell,0,0.0,0,0,0
kidney distal convoluted tubule epithelial cell,0,0.0,0,0,0
kidney cortex collecting duct epithelial cell,0,0.0,0,0,0
neuroplacodal cell,0,0.0,0,0,0
kidney connecting tubule principal cell,0,0.0,0,0,0
kidney connecting tubule epithelial cell,0,0.0,0,0,0
kidney collecting duct principal cell,0,0.0,0,0,0
neuron,0,0.0,0,0,0
neuroepithelial stem cell,0,0.0,0,0,0
kidney loop of Henle ascending limb epithelial cell,0,0.0,0,0,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,0.0,0,0,0
neoplastic cell,0,0.0,0,0,0
nephron tubule epithelial cell,0,0.0,0,0,0
neural cell,0,0.0,0,0,0
neural crest cell,0,0.0,0,0,0
kidney loop of Henle epithelial cell,0,0.0,0,0,0
neural crest derived neuron,0,0.0,0,0,0
neural progenitor cell,0,0.0,0,0,0
neural stem cell,0,0.0,0,0,0
neurectodermal cell,0,0.0,0,0,0
neuro-medullary thymic epithelial cell,0,0.0,0,0,0
neuroblast (sensu Nematoda and Protostomia),0,0.0,0,0,0
neuroblast (sensu Vertebrata),0,0.0,0,0,0
neuroendocrine cell,0,0.0,0,0,0
neuroendocrine cell of epithelium of lobar bronchus,0,0.0,0,0,0
kidney loop of Henle descending limb epithelial cell,0,0.0,0,0,0
lung endothelial cell,0,0.0,0,0,0
"myeloid dendritic cell, human",0,0.0,0,0,0
lung goblet cell,0,0.0,0,0,0
mature astrocyte,0,0.0,0,0,0
mesonephric nephron tubule epithelial cell,0,0.0,0,0,0
mesothelial cell,0,0.0,0,0,0
mature gamma-delta T cell,0,0.0,0,0,0
mesothelial cell of dura mater,0,0.0,0,0,0
mesothelial cell of epicardium,0,0.0,0,0,0
mesothelial cell of pleura,0,0.0,0,0,0
mesothelial fibroblast,0,0.0,0,0,0
metallothionein-positive alveolar macrophage,0,0.0,0,0,0
metamyelocyte,0,0.0,0,0,0
microcirculation associated smooth muscle cell,0,0.0,0,0,0
microfold cell of epithelium of small intestine,0,0.0,0,0,0
microglial cell,0,0.0,0,0,0
midbrain dopaminergic neuron,0,0.0,0,0,0
midget ganglion cell of retina,0,0.0,0,0,0
midzonal region hepatocyte,0,0.0,0,0,0
mature microglial cell,0,0.0,0,0,0
mesenchyme condensation cell,0,0.0,0,0,0
mesenchymal stem cell of adipose tissue,0,0.0,0,0,0
memory CCR4-positive regulatory T cell,0,0.0,0,0,0
medullary thymic epithelial cell type 1,0,0.0,0,0,0
medullary thymic epithelial cell,0,0.0,0,0,0
medium spiny neuron,0,0.0,0,0,0
melanocyte,0,0.0,0,0,0
melanocyte of skin,0,0.0,0,0,0
medial ganglionic eminence derived interneuron,0,0.0,0,0,0
memory T cell,0,0.0,0,0,0
mature neutrophil,0,0.0,0,0,0
memory regulatory T cell,0,0.0,0,0,0
medial ganglionic eminence derived GABAergic cortical interneuron,0,0.0,0,0,0
meningeal macrophage,0,0.0,0,0,0
mesangial cell,0,0.0,0,0,0
mechanoreceptor cell,0,0.0,0,0,0
mesenchymal lymphangioblast,0,0.0,0,0,0
mature conventional dendritic cell,0,0.0,0,0,0
mature T cell,0,0.0,0,0,0
lung interstitial macrophage,0,0.0,0,0,0
migratory enteric neural crest cell,0,0.0,0,0,0
muscle fibroblast,0,0.0,0,0,0
macroglial cell,0,0.0,0,0,0
myelinating Schwann cell,0,0.0,0,0,0
lymphocyte of B lineage,0,0.0,0,0,0
lung secretory cell,0,0.0,0,0,0
"lung resident memory CD8-positive, alpha-beta T cell",0,0.0,0,0,0
"lung resident memory CD4-positive, alpha-beta T cell",0,0.0,0,0,0
lung pericyte,0,0.0,0,0,0
lung perichondrial fibroblast,0,0.0,0,0,0
myeloid cell,0,0.0,0,0,0
lung multiciliated epithelial cell,0,0.0,0,0,0
lung microvascular endothelial cell,0,0.0,0,0,0
lung megakaryocyte,0,0.0,0,0,0
lung macrophage,0,0.0,0,0,0
medullary thymic epithelial cell type 2,0,0.0,0,0,0
mural cell,0,0.0,0,0,0
multiciliated epithelial cell of the bronchus,0,0.0,0,0,0
multiciliated epithelial cell,0,0.0,0,0,0
motor neuron,0,0.0,0,0,0
mammary gland epithelial cell,0,0.0,0,0,0
malignant cell,0,0.0,0,0,0
male germ cell,0,0.0,0,0,0
monocyte-derived dendritic cell,0,0.0,0,0,0
mononuclear leukocyte,0,0.0,0,0,0
mononuclear phagocyte,0,0.0,0,0,0
mucosa-associated lymphoid tissue macrophage,0,0.0,0,0,0
multiciliated columnar cell of tracheobronchial tree,0,0.0,0,0,0
macula densa epithelial cell,0,0.0,0,0,0
mucous cell of stomach,0,0.0,0,0,0
mucous neck cell of gastric gland,0,0.0,0,0,0
mucus secreting cell,0,0.0,0,0,0
mucus secreting cell of bronchus submucosal gland,0,0.0,0,0,0
mucus secreting cell of tracheobronchial tree submucosal gland,0,0.0,0,0,0
