cell_type,count,percentage,k562_relevance,weighted_count,k562_weighted,k562_weighted_sqrt,k562_hybrid,proportional_sample,sqrt_sample
pigmented ciliary epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
peg cell,0,0.0,0.5,0.0,0,0,0,0,0
pigmented epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
pinealocyte,0,0.0,0.5,0.0,0,0,0,0,0
placental villous trophoblast,0,0.0,0.5,0.0,0,0,0,0,0
pluripotent stem cell,0,0.0,0.5,0.0,0,0,0,0,0
podocyte,0,0.0,0.5,0.0,0,0,0,0,0
pre-B-I cell,0,0.0,0.5,0.0,0,0,0,0,0
preadipocyte,0,0.0,0.5,0.0,0,0,0,0,0
premigratory neural crest cell,0,0.0,1.5,0.0,0,0,0,0,0
primary cultured cell,0,0.0,0.5,0.0,0,0,0,0,0
primary sensory neuron (sensu Teleostei),0,0.0,0.5,0.0,0,0,0,0,0
kidney collecting duct cell,0,0.0,1.5,0.0,0,0,0,0,0
parietal epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
progenitor cell of endocrine pancreas,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic PP cell,0,0.0,0.5,0.0,0,0,0,0,0
noradrenergic cell,0,0.0,0.5,0.0,0,0,0,0,0
odontoblast,0,0.0,0.5,0.0,0,0,0,0,0
oligodendrocyte,0,0.0,0.5,0.0,0,0,0,0,0
oligodendrocyte precursor cell,0,0.0,1.5,0.0,0,0,0,0,0
oocyte,0,0.0,0.5,0.0,0,0,0,0,0
oogonial cell,0,0.0,0.5,0.0,0,0,0,0,0
oral mucosa squamous cell,0,0.0,0.5,0.0,0,0,0,0,0
ovarian surface epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic A cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic D cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic acinar cell,0,0.0,0.5,0.0,0,0,0,0,0
parietal cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic ductal cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic endocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic epsilon cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic stellate cell,0,0.0,0.5,0.0,0,0,0,0,0
paneth cell,0,0.0,0.5,0.0,0,0,0,0,0
paneth cell of colon,0,0.0,0.5,0.0,0,0,0,0,0
paneth cell of epithelium of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
papillary tips cell,0,0.0,0.5,0.0,0,0,0,0,0
parasol ganglion cell of retina,0,0.0,0.5,0.0,0,0,0,0,0
paraxial cell,0,0.0,0.5,0.0,0,0,0,0,0
pro-T cell,0,0.0,1.5,0.0,0,0,0,0,0
progenitor cell of mammary luminal epithelium,0,0.0,0.5,0.0,0,0,0,0,0
sensory neuron,0,0.0,0.5,0.0,0,0,0,0,0
retinal pigment epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
respiratory tract suprabasal cell,0,0.0,0.5,0.0,0,0,0,0,0
reticular cell,0,0.0,0.5,0.0,0,0,0,0,0
reticulocyte,0,0.0,0.5,0.0,0,0,0,0,0
retina horizontal cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal astrocyte,0,0.0,0.5,0.0,0,0,0,0,0
retinal bipolar neuron,0,0.0,0.5,0.0,0,0,0,0,0
retinal blood vessel endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal cone cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal ganglion cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal progenitor cell,0,0.0,0.5,0.0,0,0,0,0,0
respiratory tract hillock cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal rod cell,0,0.0,0.5,0.0,0,0,0,0,0
rod bipolar cell,0,0.0,0.5,0.0,0,0,0,0,0
salivary gland cell,0,0.0,0.5,0.0,0,0,0,0,0
salivary gland glandular cell,0,0.0,0.5,0.0,0,0,0,0,0
